tag,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
ACIAD0001,539.0,635.0,376.0,341.0,530.0,579.0,64.0,54.0,34.0,820.0,215.0,950.0
ACIAD0002,436.0,577.0,286.0,330.0,373.0,475.0,25.0,40.0,32.0,804.0,192.0,1050.0
ACIAD0003,340.0,496.0,164.0,130.0,295.0,283.0,69.0,47.0,39.0,199.0,65.0,256.0
ACIAD0004,1966.0,2899.0,972.0,920.0,2044.0,1358.0,179.0,167.0,148.0,1491.0,445.0,1708.0
ACIAD0005,6.0,12.0,5.0,12.0,7.0,8.0,138.0,144.0,72.0,99.0,56.0,122.0
ACIAD0007,134.0,145.0,84.0,111.0,114.0,131.0,6.0,13.0,8.0,218.0,61.0,244.0
ACIAD0008,126.0,222.0,90.0,92.0,133.0,128.0,534.0,507.0,371.0,8115.0,2492.0,6703.0
ACIAD0009,99.0,150.0,96.0,58.0,88.0,133.0,99.0,92.0,70.0,739.0,202.0,672.0
ACIAD0010,1042.0,2011.0,417.0,336.0,1144.0,1010.0,843.0,606.0,440.0,5842.0,1319.0,7076.0
ACIAD0011,188.0,250.0,127.0,114.0,178.0,198.0,31.0,39.0,26.0,309.0,106.0,349.0
ACIAD0013,168.0,209.0,101.0,123.0,150.0,159.0,5.0,4.0,3.0,297.0,68.0,319.0
ACIAD0014,23.0,49.0,12.0,13.0,29.0,22.0,67.0,65.0,35.0,205.0,76.0,237.0
ACIAD0015,199.0,375.0,128.0,98.0,196.0,216.0,40.0,41.0,32.0,266.0,80.0,364.0
ACIAD0017,46.0,112.0,31.0,31.0,59.0,69.0,95.0,99.0,75.0,446.0,149.0,477.0
ACIAD0018,20.0,33.0,10.0,2.0,15.0,23.0,16.0,21.0,17.0,84.0,31.0,96.0
ACIAD0019,41.0,89.0,36.0,25.0,39.0,41.0,31.0,33.0,19.0,315.0,94.0,331.0
